300	3	2	9	1
300	3	3	19	0
300	4	1	4	0
300	2	6	27	2
300	4	1	4	0
300	3	3	19	0
300	1	5	5	0
300	2	3	9	0
300	2	5	20	0
300	2	4	14	0
300	5	4	120	3
300	4	4	68	0
300	5	1	5	0
300	3	2	9	2
300	3	1	3	0
300	1	2	2	0
300	2	1	2	0
300	4	2	14	0
300	2	2	5	0
300	4	3	34	0
300	2	3	9	0
300	4	4	68	0
300	2	4	14	0
300	2	3	9	0
300	3	3	19	1
300	3	4	34	0
300	0	2	0	0
300	3	4	34	4
300	2	3	9	0
300	3	2	9	0
300	3	1	3	0
300	4	0	0	0
300	5	3	55	0
300	3	4	34	0
300	0	1	0	0
300	7	3	119	1
300	4	4	68	2
300	6	3	83	1
300	3	0	0	0
300	2	4	14	0
300	2	4	14	0
300	5	0	0	0
300	3	3	19	0
300	3	4	34	0
300	8	5	880	0
300	6	2	27	0
300	5	0	0	0
300	3	5	55	1
300	1	3	3	0
300	1	4	4	0
300	1	3	3	1
300	1	0	0	0
300	6	3	83	2
300	3	5	55	5
300	6	2	27	0
300	4	3	34	2
300	2	1	2	0
300	5	2	20	1
300	4	3	34	2
300	7	6	1057	2
300	1	6	6	0
300	1	4	4	0
300	3	5	55	2
300	0	6	0	0
300	3	1	3	0
300	2	1	2	0
300	3	5	55	0
300	3	2	9	0
300	4	3	34	0
300	2	2	5	0
300	1	4	4	0
300	0	4	0	0
300	2	2	5	0
300	5	0	0	0
300	4	5	120	2
300	3	2	9	0
300	3	2	9	1
300	2	6	27	0
300	4	2	14	1
300	5	3	55	1
300	6	1	6	0
300	4	4	68	0
300	2	0	0	0
300	6	2	27	2
300	6	7	1057	0
300	6	2	27	0
300	3	4	34	0
300	2	5	20	0
300	4	1	4	1
300	0	5	0	0
300	6	5	380	2
300	3	1	3	0
300	2	6	27	0
300	3	3	19	2
300	4	4	68	0
300	5	5	225	1
300	6	3	83	1
300	1	5	5	0
300	6	1	6	1
300	4	2	14	0
350	6	3	83	4
350	5	7	595	6
350	9	8	5784	15
350	5	4	120	1
350	4	5	120	2
350	4	14	2058	12
350	2	9	54	11
350	6	12	5462	9
350	8	9	5784	13
350	5	5	225	4
350	7	7	1715	6
350	3	4	34	2
