% EVD params: a: 0.9365572898359593 b: 13.978311618495539 g 37.74986755429083
% len intron P	intron log2(P/expect)
0.000210	-3.248330
0.000209	-3.258521
0.000208	-3.268675
0.000206	-3.278791
0.000205	-3.288872
0.000203	-3.298916
0.000202	-3.308924
0.000200	-3.318896
0.000199	-3.328833
0.000198	-3.338734
0.000196	-3.348601
0.000195	-3.358433
0.000194	-3.368230
0.000192	-3.377993
0.000191	-3.387722
0.000190	-3.397417
0.000189	-3.407078
0.000187	-3.416707
0.000186	-3.426302
0.000185	-3.435864
0.000184	-3.445394
0.000182	-3.454891
0.000181	-3.464356
0.000180	-3.473789
0.000179	-3.483190
0.000178	-3.492560
0.000177	-3.501898
0.000175	-3.511205
0.000174	-3.520481
0.000173	-3.529727
0.000172	-3.538942
0.000171	-3.548127
0.000170	-3.557281
0.000169	-3.566406
0.000168	-3.575500
0.000167	-3.584566
0.000166	-3.593602
0.000165	-3.602609
0.000164	-3.611586
0.000163	-3.620535
0.000162	-3.629456
0.000161	-3.638348
0.000160	-3.647212
0.000159	-3.656047
0.000158	-3.664855
0.000157	-3.673635
0.000156	-3.682388
0.000155	-3.691113
0.000154	-3.699811
0.000153	-3.708482
0.000152	-3.717126
0.000151	-3.725744
0.000150	-3.734335
0.000149	-3.742899
0.000149	-3.751438
0.000148	-3.759950
0.000147	-3.768436
0.000146	-3.776897
0.000145	-3.785332
0.000144	-3.793742
0.000143	-3.802127
0.000143	-3.810486
0.000142	-3.818820
0.000141	-3.827130
0.000140	-3.835415
0.000139	-3.843675
0.000139	-3.851911
0.000138	-3.860123
0.000137	-3.868311
0.000136	-3.876475
0.000135	-3.884614
0.000135	-3.892731
0.000134	-3.900823
0.000133	-3.908893
0.000132	-3.916939
0.000132	-3.924962
0.000131	-3.932962
0.000130	-3.940939
0.000130	-3.948893
0.000129	-3.956825
0.000128	-3.964734
0.000127	-3.972621
0.000127	-3.980486
0.000126	-3.988329
0.000125	-3.996149
0.000125	-4.003948
0.000124	-4.011725
0.000123	-4.019480
0.000123	-4.027214
0.000122	-4.034927
0.000121	-4.042618
0.000121	-4.050288
0.000120	-4.057938
0.000119	-4.065566
0.000119	-4.073173
0.000118	-4.080760
0.000118	-4.088326
0.000117	-4.095872
0.000116	-4.103398
0.000116	-4.110903
0.000115	-4.118388
0.000115	-4.125853
0.000114	-4.133298
0.000113	-4.140723
0.000113	-4.148129
0.000112	-4.155515
0.000112	-4.162882
0.000111	-4.170229
0.000111	-4.177557
0.000110	-4.184865
0.000109	-4.192155
0.000109	-4.199425
0.000108	-4.206677
0.000108	-4.213910
0.000107	-4.221124
0.000107	-4.228320
0.000106	-4.235497
0.000106	-4.242656
0.000105	-4.249796
0.000105	-4.256918
0.000104	-4.264022
0.000104	-4.271108
0.000103	-4.278176
0.000103	-4.285227
0.000102	-4.292259
0.000102	-4.299274
0.000101	-4.306271
0.000101	-4.313251
0.000100	-4.320213
0.000100	-4.327158
0.000099	-4.334086
0.000099	-4.340996
0.000098	-4.347890
0.000098	-4.354766
0.000097	-4.361626
0.000097	-4.368469
0.000096	-4.375295
0.000096	-4.382104
0.000095	-4.388897
0.000095	-4.395673
0.000095	-4.402433
0.000094	-4.409177
0.000094	-4.415904
0.000093	-4.422616
0.000093	-4.429311
0.000092	-4.435990
0.000092	-4.442653
0.000092	-4.449300
0.000091	-4.455932
0.000091	-4.462547
0.000090	-4.469148
0.000090	-4.475732
0.000089	-4.482301
0.000089	-4.488855
0.000089	-4.495393
0.000088	-4.501916
0.000088	-4.508424
0.000087	-4.514916
0.000087	-4.521394
0.000087	-4.527857
0.000086	-4.534304
0.000086	-4.540737
0.000086	-4.547155
0.000085	-4.553558
0.000085	-4.559947
0.000084	-4.566321
0.000084	-4.572681
0.000084	-4.579026
0.000083	-4.585356
0.000083	-4.591673
0.000083	-4.597975
0.000082	-4.604263
0.000082	-4.610536
0.000082	-4.616796
0.000081	-4.623042
0.000081	-4.629273
0.000080	-4.635491
0.000080	-4.641695
0.000080	-4.647886
0.000079	-4.654062
0.000079	-4.660225
0.000079	-4.666375
0.000078	-4.672510
0.000078	-4.678633
0.000078	-4.684742
0.000077	-4.690837
0.000077	-4.696920
0.000077	-4.702989
0.000076	-4.709045
0.000076	-4.715088
0.000076	-4.721118
0.000076	-4.727134
0.000075	-4.733138
0.000075	-4.739129
0.000075	-4.745108
0.000074	-4.751073
0.000074	-4.757026
