% len exon P	exon log2(P/expect)
0.001019	-0.972834
0.001008	-0.987990
0.000998	-1.003131
0.000987	-1.018257
0.000977	-1.033366
0.000967	-1.048460
0.000957	-1.063538
0.000947	-1.078601
0.000937	-1.093647
0.000927	-1.108677
0.000918	-1.123690
0.000908	-1.138687
0.000899	-1.153668
0.000890	-1.168633
0.000881	-1.183580
0.000871	-1.198511
0.000862	-1.213425
0.000854	-1.228323
0.000845	-1.243203
0.000836	-1.258066
0.000828	-1.272912
0.000819	-1.287741
0.000811	-1.302553
0.000803	-1.317348
0.000794	-1.332125
0.000786	-1.346885
0.000778	-1.361627
0.000770	-1.376352
0.000763	-1.391059
0.000755	-1.405748
0.000747	-1.420420
0.000740	-1.435074
0.000732	-1.449710
0.000725	-1.464328
0.000718	-1.478929
0.000710	-1.493512
0.000703	-1.508076
0.000696	-1.522623
0.000689	-1.537151
0.000682	-1.551662
0.000675	-1.566154
0.000669	-1.580628
0.000662	-1.595085
0.000655	-1.609522
0.000649	-1.623942
0.000642	-1.638343
0.000636	-1.652726
0.000630	-1.667091
0.000624	-1.681438
0.000617	-1.695766
0.000611	-1.710075
0.000605	-1.724367
0.000599	-1.738639
0.000593	-1.752894
0.000588	-1.767130
0.000582	-1.781347
0.000576	-1.795546
0.000570	-1.809727
0.000565	-1.823889
0.000559	-1.838032
0.000554	-1.852157
0.000549	-1.866264
0.000543	-1.880352
0.000538	-1.894421
0.000533	-1.908472
0.000528	-1.922504
0.000522	-1.936518
0.000517	-1.950513
0.000512	-1.964490
0.000508	-1.978448
0.000503	-1.992387
0.000498	-2.006308
0.000493	-2.020210
0.000488	-2.034094
0.000484	-2.047959
0.000479	-2.061806
0.000474	-2.075634
0.000470	-2.089443
0.000465	-2.103234
0.000461	-2.117007
0.000457	-2.130761
0.000452	-2.144496
0.000448	-2.158213
0.000444	-2.171911
0.000440	-2.185591
0.000436	-2.199253
0.000431	-2.212895
0.000427	-2.226520
0.000423	-2.240126
0.000419	-2.253713
0.000415	-2.267283
0.000412	-2.280833
0.000408	-2.294366
0.000404	-2.307879
0.000400	-2.321375
0.000396	-2.334852
0.000393	-2.348311
0.000389	-2.361751
0.000386	-2.375174
0.000382	-2.388577
0.000378	-2.401963
0.000375	-2.415330
0.000371	-2.428680
0.000368	-2.442010
0.000365	-2.455323
0.000361	-2.468618
0.000358	-2.481894
0.000355	-2.495152
0.000352	-2.508392
0.000348	-2.521614
0.000345	-2.534818
0.000342	-2.548004
0.000339	-2.561172
0.000336	-2.574322
0.000333	-2.587454
0.000330	-2.600567
0.000327	-2.613663
0.000324	-2.626741
0.000321	-2.639801
0.000318	-2.652844
0.000315	-2.665868
0.000312	-2.678875
0.000310	-2.691863
0.000307	-2.704834
0.000304	-2.717787
0.000301	-2.730723
0.000299	-2.743641
0.000296	-2.756541
0.000293	-2.769423
0.000291	-2.782288
0.000288	-2.795135
0.000286	-2.807965
0.000283	-2.820777
0.000281	-2.833572
0.000278	-2.846349
0.000276	-2.859109
0.000273	-2.871851
0.000271	-2.884576
0.000268	-2.897284
0.000266	-2.909974
0.000264	-2.922647
0.000261	-2.935302
0.000259	-2.947940
0.000257	-2.960561
0.000255	-2.973165
0.000252	-2.985752
0.000250	-2.998322
0.000248	-3.010874
0.000246	-3.023409
0.000244	-3.035928
0.000242	-3.048429
0.000240	-3.060913
0.000238	-3.073381
0.000236	-3.085831
0.000234	-3.098264
0.000232	-3.110681
0.000230	-3.123081
0.000228	-3.135464
0.000226	-3.147830
0.000224	-3.160179
0.000222	-3.172512
0.000220	-3.184828
0.000218	-3.197127
0.000216	-3.209410
0.000214	-3.221676
0.000213	-3.233925
0.000211	-3.246158
0.000209	-3.258375
0.000207	-3.270575
0.000206	-3.282758
0.000204	-3.294926
0.000202	-3.307076
0.000200	-3.319211
0.000199	-3.331329
0.000197	-3.343431
0.000195	-3.355516
0.000194	-3.367586
0.000192	-3.379639
0.000191	-3.391676
0.000189	-3.403696
0.000187	-3.415701
0.000186	-3.427690
0.000184	-3.439663
0.000183	-3.451619
0.000181	-3.463560
0.000180	-3.475485
0.000178	-3.487393
0.000177	-3.499286
0.000175	-3.511163
0.000174	-3.523025
0.000173	-3.534870
0.000171	-3.546700
0.000170	-3.558514
0.000168	-3.570312
