seq_len,iso_count,n_dons,n_accs,time
350,11,8,5,3.0279159545898438e-05
350,10,6,8,2.9325485229492188e-05
350,8,3,6,2.0742416381835938e-05
350,3,6,4,2.0503997802734375e-05
350,11,6,6,2.8371810913085938e-05
350,7,7,6,2.6702880859375e-05
350,4,2,7,1.8596649169921875e-05
350,24,8,7,5.125999450683594e-05
350,0,4,4,1.71661376953125e-05
350,21,9,8,4.124641418457031e-05
350,8,5,6,2.3126602172851562e-05
350,1,6,5,1.9550323486328125e-05
350,9,7,6,2.5987625122070312e-05
350,6,5,6,2.1696090698242188e-05
350,8,3,8,2.1457672119140625e-05
350,7,5,5,2.3365020751953125e-05
350,3,4,4,2.0265579223632812e-05
350,8,7,6,2.6941299438476562e-05
350,2,1,4,1.6689300537109375e-05
350,2,8,6,2.193450927734375e-05
350,1,5,2,1.9550323486328125e-05
350,7,5,5,2.4557113647460938e-05
350,6,5,3,2.1219253540039062e-05
350,12,8,3,2.956390380859375e-05
350,6,5,7,2.2411346435546875e-05
350,5,5,5,2.1457672119140625e-05
350,16,7,9,3.5762786865234375e-05
350,24,7,13,4.696846008300781e-05
350,12,4,11,2.7418136596679688e-05
350,12,12,6,3.981590270996094e-05
350,6,8,7,2.9087066650390625e-05
350,4,6,7,2.3603439331054688e-05
350,21,7,9,3.361701965332031e-05
350,12,5,9,2.8371810913085938e-05
350,2,4,7,1.9073486328125e-05
350,3,6,6,2.1696090698242188e-05
350,0,6,2,1.71661376953125e-05
350,4,6,3,2.288818359375e-05
350,0,5,4,1.71661376953125e-05
350,10,6,4,2.5272369384765625e-05
350,7,4,6,2.2649765014648438e-05
350,19,6,7,3.147125244140625e-05
350,6,6,6,2.574920654296875e-05
350,8,8,6,2.8133392333984375e-05
350,0,6,4,1.7881393432617188e-05
350,23,5,9,3.2901763916015625e-05
350,14,8,7,3.7670135498046875e-05
350,0,4,4,1.6927719116210938e-05
350,2,6,6,2.0742416381835938e-05
350,1,4,5,1.7642974853515625e-05
350,0,4,3,1.6450881958007812e-05
350,6,7,5,2.4318695068359375e-05
400,63,8,11,9.584426879882812e-05
400,52,6,14,6.580352783203125e-05
400,44,10,12,8.392333984375e-05
400,32,11,10,7.295608520507812e-05
400,26,8,14,6.365776062011719e-05
400,22,7,8,4.482269287109375e-05
400,57,13,8,9.274482727050781e-05
400,9,8,7,3.886222839355469e-05
400,28,8,7,5.125999450683594e-05
400,12,6,5,3.528594970703125e-05
400,13,6,9,4.172325134277344e-05
400,14,6,8,4.076957702636719e-05
400,43,8,11,6.246566772460938e-05
400,26,12,7,6.461143493652344e-05
400,40,10,9,7.867813110351562e-05
400,16,8,14,4.839897155761719e-05
400,5,6,3,2.8133392333984375e-05
400,19,4,8,3.719329833984375e-05
400,31,10,6,4.887580871582031e-05
400,17,11,6,4.863739013671875e-05
400,4,4,5,2.6941299438476562e-05
400,25,11,8,6.890296936035156e-05
400,28,6,9,4.649162292480469e-05
400,18,11,8,4.982948303222656e-05
400,17,8,6,4.291534423828125e-05
400,14,11,6,5.340576171875e-05
400,22,6,7,3.719329833984375e-05
400,11,12,6,4.7206878662109375e-05
400,2,5,8,2.6464462280273438e-05
400,9,4,7,2.9325485229492188e-05
400,37,6,14,5.7697296142578125e-05
400,17,4,11,3.647804260253906e-05
400,18,10,6,5.269050598144531e-05
400,13,4,7,3.5762786865234375e-05
400,11,10,7,6.008148193359375e-05
400,4,5,6,2.7179718017578125e-05
400,43,11,8,8.96453857421875e-05
400,30,12,7,7.748603820800781e-05
400,11,11,5,4.410743713378906e-05
400,21,10,11,7.653236389160156e-05
400,63,12,13,0.00010704994201660156
400,33,10,7,6.842613220214844e-05
400,5,8,8,3.6716461181640625e-05
400,13,7,6,5.4836273193359375e-05
400,17,8,8,4.029273986816406e-05
400,5,7,7,3.4332275390625e-05
400,8,7,10,3.2901763916015625e-05
400,47,11,9,9.703636169433594e-05
400,8,5,10,3.4332275390625e-05
400,15,6,13,4.363059997558594e-05
400,3,7,2,2.6702880859375e-05
400,39,12,9,8.034706115722656e-05
400,23,8,9,5.698204040527344e-05
400,4,6,7,3.409385681152344e-05
400,33,10,7,5.626678466796875e-05
400,12,3,6,2.8848648071289062e-05
400,10,9,4,3.719329833984375e-05
400,10,7,5,4.1961669921875e-05
400,8,7,9,3.910064697265625e-05
400,27,6,13,5.173683166503906e-05
400,28,10,9,6.413459777832031e-05
400,81,8,11,9.417533874511719e-05
400,59,14,11,0.00013637542724609375
400,6,4,9,3.170967102050781e-05
400,26,10,8,4.696846008300781e-05
400,15,11,5,3.9577484130859375e-05
400,26,11,7,5.2928924560546875e-05
400,37,11,11,9.393692016601562e-05
400,24,8,8,5.507469177246094e-05
400,0,9,2,2.3603439331054688e-05
400,28,9,6,6.103515625e-05
400,25,11,10,5.7697296142578125e-05
400,7,8,6,3.838539123535156e-05
400,20,9,8,5.555152893066406e-05
400,16,9,12,4.935264587402344e-05
400,16,6,6,3.743171691894531e-05
400,4,4,7,2.6464462280273438e-05
400,22,5,10,4.38690185546875e-05
400,89,13,6,0.00010609626770019531
400,5,3,8,2.6941299438476562e-05
400,50,8,12,7.62939453125e-05
400,7,7,4,2.9325485229492188e-05
400,17,5,12,4.5299530029296875e-05
400,15,6,9,3.7670135498046875e-05
400,31,8,12,6.532669067382812e-05
400,27,13,8,6.4849853515625e-05
400,45,10,6,7.653236389160156e-05
400,12,9,7,4.363059997558594e-05
400,22,11,7,4.744529724121094e-05
400,5,5,8,2.7418136596679688e-05
400,18,7,9,4.291534423828125e-05
400,7,4,8,3.0994415283203125e-05
400,16,6,7,3.600120544433594e-05
400,12,8,9,4.100799560546875e-05
400,7,9,4,3.218650817871094e-05
400,7,4,7,3.170967102050781e-05
400,21,8,6,5.054473876953125e-05
400,7,6,11,3.0517578125e-05
400,11,6,12,3.62396240234375e-05
400,11,3,6,2.9325485229492188e-05
450,47,15,11,0.00018787384033203125
450,211,10,15,0.0002646446228027344
450,297,10,16,0.0003910064697265625
450,26,9,7,5.316734313964844e-05
450,92,6,16,0.00013446807861328125
450,134,15,10,0.00034737586975097656
450,141,14,14,0.00019860267639160156
450,47,7,13,8.034706115722656e-05
450,16,10,5,5.602836608886719e-05
450,244,13,15,0.0002758502960205078
450,137,14,10,0.00022077560424804688
450,49,13,11,0.00010561943054199219
450,27,7,14,7.176399230957031e-05
450,40,10,12,9.703636169433594e-05
450,6,4,9,3.719329833984375e-05
450,68,15,7,0.00020194053649902344
450,119,13,12,0.0001735687255859375
450,47,10,8,9.393692016601562e-05
450,54,14,12,0.00011873245239257812
450,221,12,10,0.00020623207092285156
450,174,15,12,0.0002415180206298828
450,10,3,12,4.363059997558594e-05
450,336,12,15,0.0003895759582519531
450,21,8,10,8.082389831542969e-05
450,84,14,11,0.00015878677368164062
450,120,12,18,0.0002124309539794922
450,68,14,9,0.0001201629638671875
450,206,12,14,0.00034618377685546875
450,58,6,13,7.295608520507812e-05
450,38,11,9,9.72747802734375e-05
450,37,11,10,9.846687316894531e-05
450,20,9,7,7.104873657226562e-05
450,55,11,9,0.00012612342834472656
450,22,9,5,5.364418029785156e-05
450,40,9,8,6.747245788574219e-05
450,233,14,15,0.0003383159637451172
450,103,9,15,0.0001838207244873047
450,215,8,19,0.00017213821411132812
450,155,13,11,0.00020122528076171875
450,71,13,11,0.0001811981201171875
450,176,13,13,0.00027942657470703125
450,91,6,14,0.00011229515075683594
450,83,13,15,0.000247955322265625
450,124,10,12,0.0001742839813232422
450,50,12,9,0.000125885009765625
450,180,14,14,0.00029850006103515625
450,38,11,9,9.584426879882812e-05
450,18,11,7,7.367134094238281e-05
450,39,10,11,0.00010013580322265625
450,45,9,12,8.392333984375e-05
450,154,14,14,0.0002665519714355469
450,117,9,13,0.00017523765563964844
450,268,15,15,0.0003800392150878906
450,164,8,16,0.00015211105346679688
450,304,13,12,0.000308990478515625
450,139,13,10,0.00014090538024902344
450,37,11,14,7.009506225585938e-05
450,125,11,9,0.0001590251922607422
450,87,10,11,0.00012922286987304688
450,109,11,13,0.0001926422119140625
450,355,12,14,0.00043082237243652344
450,123,11,12,0.00014662742614746094
450,54,11,9,0.00012874603271484375
450,32,13,8,9.608268737792969e-05
450,43,9,13,0.00011038780212402344
450,58,11,9,0.0001404285430908203
450,14,4,11,4.887580871582031e-05
450,78,6,16,8.177757263183594e-05
450,100,13,10,0.00017213821411132812
450,12,10,9,5.4836273193359375e-05
450,35,10,9,0.00011682510375976562
450,28,5,11,4.7206878662109375e-05
450,108,17,16,0.0001900196075439453
450,147,9,16,0.00024080276489257812
450,196,10,17,0.00030350685119628906
450,93,9,12,0.00017571449279785156
450,46,6,11,5.91278076171875e-05
450,26,10,11,6.4849853515625e-05
450,164,9,18,0.00023889541625976562
450,68,12,8,0.0001246929168701172
450,105,9,8,0.00010585784912109375
450,106,14,14,0.0002162456512451172
450,23,12,6,7.677078247070312e-05
450,79,12,9,0.00014925003051757812
450,127,13,13,0.00017952919006347656
450,28,10,11,9.5367431640625e-05
450,36,7,11,7.367134094238281e-05
450,79,8,12,0.00010442733764648438
450,70,7,16,8.487701416015625e-05
450,159,12,13,0.00018024444580078125
450,40,8,8,5.817413330078125e-05
450,184,19,17,0.000537872314453125
450,228,17,17,0.0006101131439208984
450,52,6,13,6.651878356933594e-05
450,92,6,15,9.822845458984375e-05
450,41,6,12,9.131431579589844e-05
450,69,17,10,0.0002503395080566406
450,27,8,10,5.245208740234375e-05
450,54,8,10,7.915496826171875e-05
450,84,14,13,0.00017380714416503906
500,108,15,11,0.0002219676971435547
500,1111,14,19,0.0013628005981445312
500,138,15,9,0.00021219253540039062
500,905,14,17,0.0009329319000244141
500,272,13,11,0.00037360191345214844
500,42,15,11,0.00016069412231445312
500,197,8,16,0.00021886825561523438
500,179,13,17,0.00032210350036621094
500,96,15,11,0.0002789497375488281
500,117,14,17,0.00044035911560058594
500,138,17,6,0.00020837783813476562
500,965,17,17,0.00093841552734375
500,107,15,8,0.0002014636993408203
500,287,13,16,0.0003561973571777344
500,318,11,20,0.0003457069396972656
500,218,13,17,0.0005197525024414062
500,1390,20,16,0.0017435550689697266
500,191,11,14,0.0003256797790527344
500,423,21,15,0.0010540485382080078
500,99,14,8,0.00021386146545410156
500,803,21,15,0.0012211799621582031
500,347,13,15,0.0003597736358642578
500,54,6,13,0.00010180473327636719
500,164,9,13,0.0002560615539550781
500,81,18,13,0.0003387928009033203
500,275,10,17,0.00036144256591796875
500,208,12,20,0.00035119056701660156
500,248,14,13,0.000415802001953125
500,336,13,14,0.0004317760467529297
500,359,15,18,0.0009012222290039062
500,49,7,10,9.870529174804688e-05
500,214,11,14,0.0002391338348388672
500,451,12,17,0.00042057037353515625
500,68,8,14,9.989738464355469e-05
500,587,16,16,0.0008420944213867188
500,49,10,8,9.560585021972656e-05
500,654,13,18,0.0008771419525146484
500,259,16,16,0.0007882118225097656
500,56,8,16,0.00014662742614746094
500,455,12,20,0.0006875991821289062
500,391,14,16,0.0004067420959472656
500,55,6,11,9.512901306152344e-05
500,188,11,18,0.0003669261932373047
500,201,13,14,0.0004596710205078125
500,437,14,12,0.0005123615264892578
500,17,4,15,4.482269287109375e-05
500,62,15,9,0.000202178955078125
500,20,9,11,7.82012939453125e-05
500,131,14,11,0.0002129077911376953
500,233,11,14,0.0002906322479248047
500,74,13,15,0.0002148151397705078
500,48,15,12,0.00018095970153808594
500,207,13,16,0.0003407001495361328
500,119,9,19,0.0001983642578125
500,233,10,13,0.00023317337036132812
500,223,12,12,0.00025463104248046875
500,196,16,10,0.0003116130828857422
500,319,16,15,0.0004558563232421875
500,646,18,16,0.0007774829864501953
500,125,11,9,0.00016307830810546875
500,503,14,12,0.0007171630859375
500,269,11,12,0.0004611015319824219
500,1759,19,16,0.002146482467651367
500,31,7,9,6.389617919921875e-05
500,136,14,10,0.00015926361083984375
500,155,10,10,0.00015544891357421875
500,221,15,13,0.00032138824462890625
500,123,15,8,0.00019216537475585938
500,68,10,12,0.00018143653869628906
500,5,12,3,4.8160552978515625e-05
500,209,13,15,0.0003647804260253906
500,327,13,15,0.0006384849548339844
500,479,18,17,0.0008692741394042969
500,195,14,14,0.0004334449768066406
500,187,14,11,0.0004646778106689453
500,905,22,18,0.0016703605651855469
500,163,13,12,0.0002453327178955078
500,146,13,15,0.00029277801513671875
500,308,13,14,0.0005307197570800781
500,160,8,14,0.00019693374633789062
500,107,11,13,0.0002582073211669922
500,144,16,14,0.00033354759216308594
500,631,16,16,0.0009260177612304688
500,245,11,18,0.0004508495330810547
500,1160,22,16,0.0018417835235595703
500,629,12,19,0.0008203983306884766
500,177,12,14,0.0003497600555419922
500,130,12,12,0.0002567768096923828
500,210,18,9,0.0003800392150878906
500,565,17,17,0.0007085800170898438
500,166,11,18,0.00026869773864746094
500,138,10,12,0.0002357959747314453
500,44,11,7,9.799003601074219e-05
500,855,19,17,0.0013926029205322266
500,339,14,16,0.000640869140625
500,279,9,16,0.0004086494445800781
500,388,15,15,0.00047206878662109375
500,52,11,17,0.00024127960205078125
500,533,14,15,0.0007207393646240234
500,595,15,18,0.000797271728515625
550,353,17,15,0.001068115234375
550,850,15,15,0.0009362697601318359
550,492,13,13,0.00046253204345703125
550,1418,14,20,0.0018091201782226562
550,223,18,11,0.00045800209045410156
550,439,15,11,0.0006287097930908203
550,332,8,19,0.0002713203430175781
550,147,14,11,0.0002346038818359375
550,1459,21,14,0.0014584064483642578
550,476,11,20,0.0005342960357666016
550,560,21,13,0.001903533935546875
550,1067,14,16,0.0010030269622802734
550,277,10,16,0.0003304481506347656
550,2306,17,19,0.002851724624633789
550,638,19,16,0.0011365413665771484
550,2395,20,21,0.0031838417053222656
550,727,17,17,0.0010745525360107422
550,403,17,14,0.0008091926574707031
550,1645,21,15,0.002803325653076172
550,755,11,16,0.0006077289581298828
550,939,18,19,0.0013041496276855469
550,2215,16,17,0.0035614967346191406
550,129,17,11,0.0005004405975341797
550,190,10,21,0.00033783912658691406
550,259,13,14,0.0005700588226318359
550,5307,17,23,0.004876613616943359
550,899,15,16,0.0009920597076416016
550,1052,21,17,0.0022535324096679688
550,886,17,20,0.0023193359375
550,113,13,14,0.0002129077911376953
550,107,9,15,0.00018024444580078125
550,359,14,14,0.00045609474182128906
550,1098,17,20,0.001967191696166992
550,733,19,12,0.0008308887481689453
550,283,13,11,0.0003452301025390625
550,1726,15,18,0.0018465518951416016
550,335,13,11,0.0006341934204101562
550,567,13,12,0.00044274330139160156
550,1828,22,15,0.0026721954345703125
550,5815,20,20,0.0054585933685302734
550,648,18,13,0.0010864734649658203
550,4876,21,22,0.007558584213256836
550,470,13,18,0.00045680999755859375
550,2153,17,13,0.002366304397583008
550,3340,19,23,0.006384372711181641
550,94,11,15,0.00018739700317382812
550,1255,17,19,0.0015821456909179688
550,1080,16,14,0.0012211799621582031
550,199,9,15,0.00030517578125
550,629,14,15,0.0007026195526123047
550,297,9,15,0.0003509521484375
550,1117,19,15,0.001912832260131836
550,2958,20,20,0.003696441650390625
550,945,14,20,0.0013880729675292969
550,2205,18,18,0.002259492874145508
550,2677,18,20,0.0019850730895996094
550,495,15,19,0.0008332729339599609
550,1949,18,16,0.0023288726806640625
550,783,11,21,0.0007650852203369141
550,365,15,12,0.0004317760467529297
550,431,13,20,0.0005424022674560547
550,972,14,18,0.0012443065643310547
550,143,12,14,0.00025916099548339844
550,3035,13,21,0.0024902820587158203
550,532,19,9,0.0006806850433349609
550,749,21,16,0.0017426013946533203
550,761,19,11,0.0008313655853271484
550,779,22,16,0.0031816959381103516
550,937,17,13,0.0011763572692871094
550,517,16,14,0.0011641979217529297
550,1761,17,19,0.0024003982543945312
550,3257,18,23,0.0048389434814453125
550,164,8,11,0.00021648406982421875
550,767,18,17,0.0017979145050048828
550,1079,12,25,0.0016529560089111328
550,773,16,13,0.0012392997741699219
550,3485,23,25,0.006243228912353516
550,1591,21,20,0.0026569366455078125
550,860,17,20,0.001766204833984375
550,1079,20,19,0.0020029544830322266
550,1803,22,18,0.0032722949981689453
550,1115,16,21,0.001975536346435547
550,3161,18,21,0.003907680511474609
550,208,13,12,0.00028777122497558594
550,828,13,22,0.001176595687866211
550,1400,15,20,0.0022432804107666016
550,949,20,15,0.0023529529571533203
550,281,10,15,0.00029397010803222656
550,661,16,14,0.0010547637939453125
550,3665,23,25,0.008503913879394531
550,944,14,20,0.0012276172637939453
550,397,13,12,0.0005133152008056641
550,915,14,15,0.0010046958923339844
550,761,12,11,0.0006878376007080078
550,253,13,19,0.0006036758422851562
550,5947,21,19,0.005297660827636719
550,345,17,16,0.001058816909790039
550,971,16,28,0.0017518997192382812
550,1848,15,20,0.0019724369049072266
550,388,16,11,0.0005979537963867188
600,667,12,17,0.0006620883941650391
600,825,17,13,0.0009951591491699219
600,851,12,15,0.0009734630584716797
600,4588,22,19,0.0061914920806884766
600,285,16,13,0.0008974075317382812
600,2570,18,17,0.0035445690155029297
600,7531,26,21,0.009545087814331055
600,1855,15,23,0.003289461135864258
600,269,14,16,0.000766754150390625
600,1167,23,16,0.0035943984985351562
600,10305,17,29,0.009221792221069336
600,4398,22,22,0.00517725944519043
600,2180,21,23,0.004457950592041016
600,1776,16,18,0.002858877182006836
600,10735,23,24,0.015407562255859375
600,876,15,16,0.001458883285522461
600,1340,18,16,0.0019516944885253906
600,16541,20,26,0.02262735366821289
600,1430,12,22,0.001142740249633789
600,2231,25,20,0.006773471832275391
600,1396,17,15,0.002630472183227539
600,1581,17,20,0.0016331672668457031
600,6095,27,25,0.017241477966308594
600,1307,14,21,0.0017180442810058594
600,2489,17,16,0.0026655197143554688
600,175,10,17,0.0003190040588378906
600,6510,15,24,0.007271766662597656
600,2261,17,19,0.0018725395202636719
600,1837,15,20,0.0026557445526123047
600,4126,19,17,0.0052106380462646484
600,1199,15,18,0.001651763916015625
600,5480,22,19,0.0058786869049072266
600,9963,23,26,0.023312091827392578
600,2844,17,19,0.0025365352630615234
600,12249,25,20,0.01857280731201172
600,1040,20,18,0.00273895263671875
600,4536,20,17,0.005543947219848633
600,5494,19,21,0.008227348327636719
600,5322,16,29,0.007981538772583008
600,3933,25,21,0.007426023483276367
600,3597,22,23,0.01182866096496582
600,2302,18,17,0.0032918453216552734
600,5657,19,19,0.0047953128814697266
600,1991,20,18,0.0033249855041503906
600,3135,23,17,0.00632166862487793
600,3832,15,20,0.0027313232421875
600,12787,26,22,0.015565872192382812
600,4464,17,16,0.004339694976806641
600,2123,26,19,0.004407405853271484
600,12921,23,24,0.016979217529296875
600,437,17,12,0.000762939453125
600,3375,22,23,0.012195825576782227
600,621,15,21,0.0007863044738769531
600,11465,20,24,0.014658212661743164
600,5241,24,24,0.010590076446533203
600,1599,15,20,0.002476930618286133
600,14795,27,17,0.020147323608398438
600,1714,17,18,0.002091646194458008
600,6880,23,23,0.00983285903930664
600,1625,17,18,0.001623392105102539
600,9588,19,24,0.007212162017822266
600,8946,23,24,0.017232179641723633
600,1888,27,15,0.0050084590911865234
600,755,16,15,0.0009784698486328125
600,4429,19,23,0.007631063461303711
600,1065,18,17,0.0014698505401611328
600,2659,27,13,0.003002643585205078
600,6263,24,22,0.00989389419555664
600,823,14,17,0.0010166168212890625
600,4345,14,27,0.006928920745849609
600,857,20,13,0.0010831356048583984
600,20082,32,26,0.04763340950012207
600,5809,19,20,0.007528781890869141
600,2099,18,18,0.0025184154510498047
600,3440,23,20,0.0049326419830322266
600,797,15,15,0.0007414817810058594
600,14175,22,22,0.010474205017089844
600,5079,16,28,0.006624937057495117
600,8147,18,29,0.011735200881958008
600,915,18,12,0.0013988018035888672
600,1484,19,17,0.0020008087158203125
600,10165,17,21,0.010062217712402344
600,4589,16,22,0.003573894500732422
600,817,16,16,0.002057790756225586
600,2295,16,21,0.003851652145385742
600,4217,22,25,0.006107330322265625
600,1278,13,20,0.001373291015625
600,5792,26,21,0.007825613021850586
600,1703,21,17,0.001825571060180664
600,2474,17,22,0.0027742385864257812
600,13094,27,20,0.015481710433959961
600,2377,22,21,0.004755496978759766
600,2791,18,22,0.004756927490234375
600,452,18,15,0.0010585784912109375
600,2813,16,16,0.0025281906127929688
600,951,15,25,0.0014336109161376953
600,266,10,17,0.0003764629364013672
600,3191,21,22,0.0049703121185302734
600,4451,24,16,0.008139610290527344
600,8892,18,23,0.010216951370239258
650,310,10,19,0.0002932548522949219
650,7791,18,27,0.013953208923339844
650,13383,21,25,0.019038915634155273
650,32271,18,37,0.035001277923583984
650,12819,19,22,0.01716780662536621
650,26840,22,26,0.036981821060180664
650,8335,26,28,0.03081536293029785
650,13533,21,26,0.01988077163696289
650,3387,17,21,0.005208730697631836
650,4388,21,20,0.010258913040161133
650,21552,24,22,0.0276491641998291
650,24254,20,27,0.028969526290893555
650,2227,18,24,0.003458261489868164
650,8264,16,24,0.005686283111572266
650,13145,19,28,0.021268129348754883
650,35387,19,27,0.037966251373291016
650,4887,16,23,0.006927967071533203
650,4245,17,21,0.004861116409301758
650,6513,18,25,0.01628899574279785
650,32117,23,24,0.02991795539855957
650,1484,16,15,0.0012269020080566406
650,4097,16,24,0.005459785461425781
650,9980,21,20,0.011081933975219727
650,24079,23,22,0.036839962005615234
650,5856,21,16,0.007292270660400391
650,4543,15,29,0.010080814361572266
650,8398,22,17,0.008939027786254883
650,24989,21,28,0.03025031089782715
650,4667,22,17,0.010350942611694336
650,9778,20,19,0.010658979415893555
650,3651,16,23,0.0032777786254882812
650,8721,17,26,0.010076284408569336
650,37004,22,26,0.03980731964111328
650,11427,20,22,0.01947927474975586
650,7777,23,18,0.013105392456054688
650,54919,20,32,0.05698585510253906
650,2317,22,17,0.00397491455078125
650,3229,19,16,0.0033292770385742188
650,26871,20,21,0.024990081787109375
650,33206,27,27,0.061103105545043945
650,3043,20,14,0.004655122756958008
650,9792,27,18,0.01812744140625
650,73043,28,31,0.14333224296569824
650,4031,20,23,0.007620811462402344
650,46716,21,32,0.07123017311096191
650,48075,29,23,0.06477952003479004
650,6705,22,20,0.010206460952758789
650,8657,21,21,0.014765262603759766
