# id	length	introns	RNAseq	isoforms
ch.17439	479	1	418741	29	
ch.1828	481	1	346144	34	
ch.11658	396	1	137382	38	
ch.11741	510	1	536211	39	
ch.16148	531	1	560239	55	
ch.16150	656	1	1456100	75	
ch.4463	548	1	348866	85	
ch.13115	563	1	120907	88	
ch.13114	535	1	150371	97	
ch.13118	572	1	111841	99	
ch.14203	595	1	114292	99	
ch.12547	538	1	29018400	123	
ch.14947	716	1	436152	148	
ch.636	551	1	43834400	153	
ch.7784	550	1	109487	191	
ch.2394	553	1	421472	211	
ch.11557	594	1	112723	245	
ch.12477	535	1	149915	267	
ch.11820	537	1	5547140	276	
ch.217	594	1	824451	277	
ch.5281	579	1	1479470	293	
ch.2849	522	1	807866	336	
ch.178	648	1	682989	347	
ch.9795	534	1	431647	401	
ch.15918	701	1	1826950	451	
ch.8057	591	1	407146	471	
ch.9346	598	1	290673	471	
ch.5273	584	1	292585	477	
ch.16829	557	1	994753	507	
ch.11746	593	1	3314360	539	
ch.7819	545	1	1372690	549	
ch.10697	524	1	554603	581	
ch.13057	622	1	116826	582	
ch.4244	621	1	418119	599	
ch.9527	678	2	1949550	641	
ch.2850	532	1	383317	649	
ch.10699	521	1	129516	670	
ch.8269	570	1	122042	690	
ch.13952	604	1	2482110	734	
ch.16827	603	1	552692	743	
ch.13112	618	1	290173	801	
ch.13585	722	1	769841	819	
ch.5338	694	2	429365	837	
ch.8516	573	1	203802	844	
ch.13584	644	1	352041	851	
ch.8237	507	1	17176400	870	
ch.453	520	1	221986	885	
ch.6964	720	2	1452000	901	
ch.8517	637	1	190321	905	
ch.8906	599	1	225111	946	
ch.11745	617	1	591279	975	
ch.13725	542	1	173683	986	
ch.11744	623	1	1521120	1007	
ch.7069	635	1	370634	1048	
ch.1033	616	1	2120170	1101	
ch.11157	713	1	738921	1121	
ch.10974	657	1	585992	1135	
ch.5788	563	1	259185	1157	
ch.8667	669	1	463918	1184	
ch.7541	620	1	232434	1201	
ch.11940	585	1	4415550	1363	
ch.5013	669	1	215725	1469	
ch.5109	598	1	5319370	1481	
ch.6453	571	1	546512	1502	
ch.5482	740	2	745524	1527	
ch.7308	656	2	2193660	1926	
ch.8305	691	1	2965700	1989	
ch.5920	694	1	1831880	2220	
ch.13855	619	1	442722	2263	
ch.10007	586	1	232028	2303	
ch.10502	594	1	20981400	2305	
ch.6013	613	1	901164	2703	
ch.15609	689	1	133192	2705	
ch.16414	585	1	3378800	2757	
ch.5469	621	1	1075180	2771	
ch.5912	708	1	1268240	2845	
ch.13261	686	1	4742840	2857	
ch.5808	600	1	539627	3025	
ch.4944	548	1	505946	3147	
ch.13329	592	1	3668820	3273	
ch.12848	567	1	337175	3431	
ch.307	710	1	144299	3432	
ch.6560	720	2	422841	3513	
ch.12881	628	1	214099	3538	
ch.925	703	2	358889	3611	
ch.220	690	1	19580800	3666	
ch.12838	687	1	9848300	3687	
ch.12839	687	1	9869380	3687	
ch.15949	639	1	671190	3727	
ch.1029	598	1	320894	3878	
ch.13336	619	1	315151	3895	
ch.5873	735	1	222201	3900	
ch.6848	654	2	20362500	3901	
ch.16418	618	1	9983050	3949	
ch.12027	615	1	721080	3950	
ch.17523	653	1	395097	4045	
ch.17459	616	1	110213	4095	
ch.1737	690	1	1172750	4177	
ch.1014	609	1	364084	4185	
ch.16489	700	1	186397	4205	
ch.17149	634	1	134748	4280	
ch.5369	704	1	1086010	4353	
ch.16587	635	1	293882	4363	
ch.5319	614	1	152925	4518	
ch.16589	622	1	293805	4610	
ch.6373	608	1	413007	4841	
ch.11134	728	1	142697	4877	
ch.242	663	1	449660	5233	
ch.12343	745	1	1701750	5298	
ch.13246	674	1	142031	5423	
ch.218	706	1	1819810	5666	
ch.1506	785	1	132731	5679	
ch.9640	750	1	116350	5750	
ch.13710	749	1	182535	5803	
ch.6676	872	2	187526	5888	
ch.11939	639	1	2710080	5945	
ch.8690	679	1	108211	5986	
ch.17157	616	1	218237	6010	
ch.17433	679	1	251228	6047	
ch.8331	830	2	571515	6115	
ch.16221	651	1	1487660	6165	
ch.8609	602	1	452526	6318	
ch.12337	684	1	462516	6337	
ch.12834	613	1	776116	6742	
ch.17457	628	1	190244	6969	
ch.521	687	1	3384620	7029	
ch.635	603	1	3613520	7125	
ch.5716	808	1	621032	7198	
ch.16222	644	1	1265880	7485	
ch.246	772	2	360922	7651	
ch.10441	693	1	537568	8032	
ch.6154	674	1	315858	8044	
ch.11159	719	1	138981	8059	
ch.6301	797	2	584531	8255	
ch.8979	713	1	157472	8255	
ch.16223	637	1	117505	8389	
ch.9610	670	1	518243	8467	
ch.16600	644	1	284193	8611	
ch.1620	679	1	215483	8643	
ch.6842	597	1	21739000	8884	
ch.735	732	1	142499	9425	
ch.17150	635	1	244515	9638	
ch.300	732	1	2050210	9699	
ch.17460	620	1	236792	9705	
ch.6986	664	1	708933	9787	
ch.11416	760	1	133156	10553	
ch.17456	647	1	127891	11016	
ch.16475	605	1	9048060	11044	
ch.7476	708	1	373357	11211	
ch.4118	736	1	417122	11255	
ch.2797	847	2	418269	11350	
ch.17198	733	1	179309	11569	
ch.4897	737	1	103116	11751	
ch.7806	658	1	2219720	11771	
ch.15178	826	1	165250	12038	
ch.5419	786	1	373585	12307	
ch.1712	663	2	145232	12712	
ch.4655	780	2	416830	12719	
ch.12583	720	2	101041	12763	
ch.1028	801	1	1501530	13132	
ch.11434	677	1	682885	13187	
ch.11977	688	1	119390	13211	
ch.9247	760	2	598775	13350	
ch.7707	817	2	572246	13443	
ch.662	735	2	685191	13785	
ch.13441	653	1	2073520	13916	
ch.13887	778	1	235149	14271	
ch.13096	713	1	1294640	14405	
ch.15471	659	1	106710	14513	
ch.16995	620	1	376329	14603	
ch.4980	779	1	681403	14781	
ch.3671	674	2	299659	14859	
ch.1545	742	2	158787	14895	
ch.3726	805	2	111699	15103	
ch.6284	855	1	205249	15363	
ch.7191	732	1	398121	15385	
ch.16378	705	1	142283	15569	
ch.6273	752	1	364958	16166	
ch.147	788	2	4473820	16730	
ch.2416	650	2	1269480	16863	
ch.6260	697	1	119746	17058	
ch.7306	795	1	1728840	17891	
